"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"1,""0.000000"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52748  >  80 [ACK] Seq=1 Ack=1 Win=515 Len=0""";;;;;;;;;;;;;;;;;;0.372877;0.372767;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"2,""0.270775"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;0.414759;0.372877;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"3,""0.270863"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""52746  >  80 [ACK] Seq=1 Ack=1361 Win=515 Len=0 SLE=1 SRE=1361 SLE=5441 SRE=9521""";;;;;;;;;;;;;;;;;;0.414876;0.414759;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"4,""0.288684"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;0.415153;0.414876;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"5,""0.288772"",""192.168.43.22"",""192.229.232.240"",""TCP"",""74"",""[TCP ACKed unseen segment] 52747  >  80 [ACK] Seq=1 Ack=2721 Win=515 Len=0 SLE=1 SRE=1361 SLE=5441 SRE=10881""";;;;;;;;;;;;;;;;;;0.415190;0.415153;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"6,""0.309795"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;0.509756;0.415190;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"7,""0.309895"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52746  >  80 [ACK] Seq=1 Ack=2721 Win=515 Len=0 SLE=5441 SRE=9521""";;;;;;;;;;;;;;;;;;0.509866;0.509756;#VALUE!;#VALUE!;#VALUE!;#VALUE!
"8,""0.334914"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""2774"",""[TCP Previous segment not captured] Continuation""";;;;;;;;;;;;;;;;;;1.545.485;0.509866;#VALUE!;134;#VALUE!;#VALUE!
"9,""0.335041"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""[TCP ACKed unseen segment] 52747  >  80 [ACK] Seq=1 Ack=10881 Win=515 Len=0""";;;;;;;;;;;;;;;;;;1.545.619;1.545.485;134;454;134;320
"10,""0.335280"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Previous segment not captured] Continuation""";;;;;;;;;;;;;;;;;;1.546.073;1.545.619;454;34;454;-420
"11,""0.335379"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;1.546.107;1.546.073;34;22.467;34;22.433
"12,""0.335401"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""[TCP ACKed unseen segment] 52747  >  80 [ACK] Seq=1 Ack=13601 Win=515 Len=0""";;;;;;;;;;;;;;;;;;1.568.574;1.546.107;22.467;21.195;22.467;-1.272
"13,""0.346945"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""Continuation""";;;;;;;;;;;;;;;;;;1.589.769;1.568.574;21.195;116;21.195;-21.079
